Number;;Name;;City;;Birth Date
1;;Jegor;;Oröl;;04.06.1998
2;;Vlad;;Jekaterinburg;;14.04.1997
3;;Džordž;;Kirov;;27.07.2002
4;;SanYa;;Dnepr;;17.02.1999
5;;Saša;;Moskva;;08.10.1991
6;;Arsenij;;Moskva;;18.06.1992
7;;Kostä;;Barnaul;;02.11.2001
8;;Alexa;;Bender;;28.01.1997
9;;Oleg;;Žitomir;;14.02.2000
10;;Paša;;Kirov;;14.04.2000
11;;Vadim;;Baku;;13.03.2001
12;;Timur;;Sankt-Peterburg;;30.01.2002
13;;Petr;;Noriĺsk;;07.07.1999
14;;Maksim;;Sankt-Peterburg;;19.01.2002
15;;Jakow;;Moskva;;08.06.2001
16;;Andrej;;Omsk;;14.09.1997
17;;Lüsi;;Moskva;;25.06.1996
